Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7004","April","2018","2018","°C","1.565","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7004","April","2019","2019","°C","1.136","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7004","April","2020","2020","°C","0.191","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7005","May","2010","2010","°C","1.596","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7005","May","2011","2011","°C","3.787","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7005","May","2012","2012","°C","1.141","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7005","May","2013","2013","°C","1.337","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7005","May","2014","2014","°C","1.095","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7005","May","2015","2015","°C","2.015","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7005","May","2016","2016","°C","3.38","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7005","May","2017","2017","°C","3.447","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7005","May","2018","2018","°C","0.975","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7005","May","2019","2019","°C","0.674","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7005","May","2020","2020","°C","1.271","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7006","June","2010","2010","°C","0.77","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7006","June","2011","2011","°C","2.591","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7006","June","2012","2012","°C","0.529","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7006","June","2013","2013","°C","1.974","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7006","June","2014","2014","°C","1.607","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7006","June","2015","2015","°C","1.372","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7006","June","2016","2016","°C","1.612","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7006","June","2017","2017","°C","2.1","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7006","June","2018","2018","°C","1.879","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7006","June","2019","2019","°C","-0.097","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7006","June","2020","2020","°C","1.21","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7007","July","2010","2010","°C","0.648","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7007","July","2011","2011","°C","0.661","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7007","July","2012","2012","°C","1.161","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7007","July","2013","2013","°C","1.206","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7007","July","2014","2014","°C","0.77","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7007","July","2015","2015","°C","1.181","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7007","July","2016","2016","°C","1.195","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7007","July","2017","2017","°C","1.019","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7007","July","2018","2018","°C","2.075","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7007","July","2019","2019","°C","2.141","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7007","July","2020","2020","°C","0.97","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7008","August","2010","2010","°C","0.612","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7008","August","2011","2011","°C","2.057","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7008","August","2012","2012","°C","1.513","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7008","August","2013","2013","°C","0.923","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7008","August","2014","2014","°C","0.744","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7008","August","2015","2015","°C","0.722","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7008","August","2016","2016","°C","0.287","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7008","August","2017","2017","°C","0.255","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7008","August","2018","2018","°C","1.268","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7008","August","2019","2019","°C","1.011","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7008","August","2020","2020","°C","1.34","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7009","September","2010","2010","°C","0.052","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7009","September","2011","2011","°C","1.51","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7009","September","2012","2012","°C","0.679","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7009","September","2013","2013","°C","2.608","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7009","September","2014","2014","°C","2.204","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7009","September","2015","2015","°C","0.155","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7009","September","2016","2016","°C","3.024","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7009","September","2017","2017","°C","1.091","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7009","September","2018","2018","°C","1.3","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7009","September","2019","2019","°C","2.305","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7009","September","2020","2020","°C","-0.196","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7010","October","2010","2010","°C","3.071","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7010","October","2011","2011","°C","1.38","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7010","October","2012","2012","°C","0.955","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7010","October","2013","2013","°C","1.711","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7010","October","2014","2014","°C","1.029","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7010","October","2015","2015","°C","1.995","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7010","October","2016","2016","°C","1.007","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7010","October","2017","2017","°C","2.13","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7010","October","2018","2018","°C","0.032","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7010","October","2019","2019","°C","1.537","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7010","October","2020","2020","°C","-1.042","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7011","November","2010","2010","°C","1.134","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7011","November","2011","2011","°C","1.141","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7011","November","2012","2012","°C","1.18","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7011","November","2013","2013","°C","1.019","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7011","November","2014","2014","°C","-0.346","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7011","November","2015","2015","°C","0.585","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7011","November","2016","2016","°C","-1.183","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7011","November","2017","2017","°C","2.21","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7011","November","2018","2018","°C","1.072","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7011","November","2019","2019","°C","-0.728","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7011","November","2020","2020","°C","-0.503","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7012","December","2010","2010","°C","-0.062","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7012","December","2011","2011","°C","-1.663","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7012","December","2012","2012","°C","-0.338","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7012","December","2013","2013","°C","-0.106","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7012","December","2014","2014","°C","-0.02","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7012","December","2015","2015","°C","0.163","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7012","December","2016","2016","°C","3.596","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7012","December","2017","2017","°C","0.537","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7012","December","2018","2018","°C","1.532","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7012","December","2019","2019","°C","1.662","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7012","December","2020","2020","°C","-1.792","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7001","January","2010","2010","°C","-0.496","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7001","January","2011","2011","°C","-0.727","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7001","January","2012","2012","°C","-0.63","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7001","January","2013","2013","°C","-1.632","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7001","January","2014","2014","°C","0.137","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7001","January","2015","2015","°C","1.411","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7001","January","2016","2016","°C","0.34","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7001","January","2017","2017","°C","1.43","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7001","January","2018","2018","°C","-0.316","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7001","January","2019","2019","°C","1.154","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7001","January","2020","2020","°C","0.455","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7002","February","2010","2010","°C","0.934","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7002","February","2011","2011","°C","0.62","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7002","February","2012","2012","°C","0.089","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7002","February","2013","2013","°C","0.596","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7002","February","2014","2014","°C","-0.162","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7002","February","2015","2015","°C","1.052","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7002","February","2016","2016","°C","2.685","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7002","February","2017","2017","°C","1.891","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7002","February","2018","2018","°C","1.826","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7002","February","2019","2019","°C","1.329","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7002","February","2020","2020","°C","0.221","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7003","March","2010","2010","°C","2.194","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7003","March","2011","2011","°C","0.383","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7003","March","2012","2012","°C","1.04","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7003","March","2013","2013","°C","0.768","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7003","March","2014","2014","°C","0.103","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7003","March","2015","2015","°C","0.541","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7003","March","2016","2016","°C","2.024","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7003","March","2017","2017","°C","-0.264","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7003","March","2018","2018","°C","1.657","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7003","March","2019","2019","°C","0.473","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7003","March","2020","2020","°C","0.599","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7004","April","2010","2010","°C","1.56","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7004","April","2011","2011","°C","-0.194","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7004","April","2012","2012","°C","-0.317","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7004","April","2013","2013","°C","0.236","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7004","April","2014","2014","°C","1.369","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7004","April","2015","2015","°C","-0.914","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7004","April","2016","2016","°C","1.722","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7004","April","2017","2017","°C","-0.074","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7004","April","2018","2018","°C","0.058","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7004","April","2019","2019","°C","0.465","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7004","April","2020","2020","°C","0.022","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7005","May","2010","2010","°C","0.575","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7005","May","2011","2011","°C","-0.051","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7005","May","2012","2012","°C","1.113","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7005","May","2013","2013","°C","-0.256","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7005","May","2014","2014","°C","1.142","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7005","May","2015","2015","°C","0.788","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7005","May","2016","2016","°C","0.487","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7005","May","2017","2017","°C","1.268","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7005","May","2018","2018","°C","-0.194","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7005","May","2019","2019","°C","1.494","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7005","May","2020","2020","°C","0.384","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7006","June","2010","2010","°C","0.866","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7006","June","2011","2011","°C","0.378","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7006","June","2012","2012","°C","1.204","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7006","June","2013","2013","°C","1.511","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7006","June","2014","2014","°C","0.727","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7006","June","2015","2015","°C","0.927","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7006","June","2016","2016","°C","1.564","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7006","June","2017","2017","°C","1.479","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7006","June","2018","2018","°C","1.529","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7006","June","2019","2019","°C","2.044","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7006","June","2020","2020","°C","1.432","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7007","July","2010","2010","°C","1.345","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7007","July","2011","2011","°C","0.727","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7007","July","2012","2012","°C","0.709","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7007","July","2013","2013","°C","1.271","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7007","July","2014","2014","°C","0.978","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7007","July","2015","2015","°C","0.839","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7007","July","2016","2016","°C","0.929","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7007","July","2017","2017","°C","1.052","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7007","July","2018","2018","°C","1.466","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7007","July","2019","2019","°C","1.584","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7007","July","2020","2020","°C","1.566","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7008","August","2010","2010","°C","1.294","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7008","August","2011","2011","°C","0.062","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7008","August","2012","2012","°C","0.813","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7008","August","2013","2013","°C","0.594","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7008","August","2014","2014","°C","0.394","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7008","August","2015","2015","°C","0.968","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7008","August","2016","2016","°C","1.585","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7008","August","2017","2017","°C","1.457","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7008","August","2018","2018","°C","1.659","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7008","August","2019","2019","°C","1.96","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7008","August","2020","2020","°C","1.772","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7009","September","2010","2010","°C","0.763","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7009","September","2011","2011","°C","0.301","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7009","September","2012","2012","°C","0.569","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7009","September","2013","2013","°C","0.967","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7009","September","2014","2014","°C","0.301","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7009","September","2015","2015","°C","1.164","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7009","September","2016","2016","°C","1.311","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7009","September","2017","2017","°C","1.434","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7009","September","2018","2018","°C","1.554","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7009","September","2019","2019","°C","0.988","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7009","September","2020","2020","°C","1.565","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7010","October","2010","2010","°C","1.228","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7010","October","2011","2011","°C","1.143","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7010","October","2012","2012","°C","0.658","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7010","October","2013","2013","°C","0.454","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7010","October","2014","2014","°C","0.261","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7010","October","2015","2015","°C","1.059","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7010","October","2016","2016","°C","1.765","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7010","October","2017","2017","°C","1.254","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7010","October","2018","2018","°C","0.215","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7010","October","2019","2019","°C","1.023","Fc","Calculated data"
"ET","Temperature change","16","Bangladesh","7271","Temperature change","7010","October","2020","2020","°C","2.469","Fc","Calculated data"
